Record_ID,Date,Time,Day,Is_Weekend,Location,Latitude,Longitude,Weather,Traffic_Volume,Average_Speed_kmph,Accident_Count,Congestion_Score,Congestion_Level,Risk_Score,Risk_Level
26,2025-02-01,03:00,Saturday,Yes,Vidya Nagar,15.37,75.119,Clear,445,46.9,0,21.04,Low,17.41,Low
27,2025-01-20,18:00,Monday,No,Gokul Road,15.3652,75.1106,Cloudy,975,35.2,0,47.4,Moderate,39.27,Medium
28,2025-02-15,02:00,Saturday,Yes,Old Bus Stand,15.3502,75.138,Cloudy,313,41.7,0,19.63,Low,16.39,Low
29,2025-04-17,14:00,Thursday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,393,38.8,1,27.67,Low,28.65,Low
30,2025-03-27,07:00,Thursday,No,Unkal Lake Road,15.373,75.1115,Clear,770,42.8,1,38.58,Moderate,37.47,Medium
31,2025-04-25,11:00,Friday,No,Keshwapur,15.3565,75.1325,Cloudy,449,40.7,1,28.46,Low,29.24,Low
32,2025-02-10,15:00,Monday,No,Keshwapur,15.3565,75.1325,Clear,498,39.0,0,27.96,Low,23.27,Low
33,2025-03-17,06:00,Monday,No,Old Bus Stand,15.3502,75.138,Cloudy,541,38.1,0,30.06,Low,25.02,Low
34,2025-01-08,21:00,Wednesday,No,Airport Road,15.3705,75.096,Clear,772,42.6,0,35.44,Moderate,29.31,Low
35,2025-04-24,22:00,Thursday,No,Old Bus Stand,15.3502,75.138,Rain,996,27.4,0,53.11,Moderate,44.14,Medium
36,2025-01-24,10:00,Friday,No,Old Bus Stand,15.3502,75.138,Clear,978,38.9,0,45.15,Moderate,37.34,Medium
37,2025-03-21,03:00,Friday,No,Old Bus Stand,15.3502,75.138,Rain,503,35.4,0,30.43,Low,25.38,Low
38,2025-02-22,19:00,Saturday,Yes,Vidya Nagar,15.37,75.119,Rain,551,30.8,1,38.4,Moderate,37.62,Medium
39,2025-03-05,16:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Rain,444,35.8,0,28.07,Low,23.44,Low
40,2025-01-27,22:00,Monday,No,Gokul Road,15.3652,75.1106,Clear,641,39.3,0,32.87,Low,27.28,Low
41,2025-03-28,04:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Clear,598,39.6,0,31.14,Low,25.86,Low
42,2025-04-03,06:00,Thursday,No,Airport Road,15.3705,75.096,Fog,206,36.7,0,19.0,Low,16.0,Low
43,2025-02-24,01:00,Monday,No,MG Road Junction,15.3647,75.1239,Clear,886,34.9,1,47.75,Moderate,45.17,Medium
44,2025-04-12,11:00,Saturday,Yes,Old Bus Stand,15.3502,75.138,Clear,425,39.2,0,25.22,Low,21.03,Low
45,2025-01-26,00:00,Sunday,Yes,Hubballi Railway Station,15.3515,75.1387,Cloudy,452,42.0,0,24.41,Low,20.29,Low
46,2025-04-09,11:00,Wednesday,No,Airport Road,15.3705,75.096,Cloudy,556,42.8,0,27.61,Low,22.89,Low
47,2025-03-27,21:00,Thursday,No,MG Road Junction,15.3647,75.1239,Clear,1353,24.1,0,67.95,High,56.36,Medium
48,2025-01-11,01:00,Saturday,Yes,MG Road Junction,15.3647,75.1239,Cloudy,520,46.3,0,24.1,Low,19.93,Low
49,2025-03-27,01:00,Thursday,No,Old Bus Stand,15.3502,75.138,Rain,722,18.6,2,55.6,Moderate,57.6,Medium
50,2025-04-28,16:00,Monday,No,Gokul Road,15.3652,75.1106,Clear,598,40.3,2,37.36,Moderate,42.15,Medium
51,2025-04-19,20:00,Saturday,Yes,Unkal Lake Road,15.373,75.1115,Rain,702,35.5,1,40.8,Moderate,39.47,Medium
52,2025-02-26,19:00,Wednesday,No,Vidya Nagar,15.37,75.119,Clear,889,33.7,0,45.28,Moderate,37.58,Medium
53,2025-03-31,03:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Clear,577,31.8,0,35.36,Moderate,29.5,Low
54,2025-02-27,22:00,Thursday,No,MG Road Junction,15.3647,75.1239,Clear,499,41.0,0,26.72,Low,22.21,Low
55,2025-03-03,14:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Clear,357,43.9,1,23.14,Low,24.81,Low
56,2025-04-17,12:00,Thursday,No,Unkal Lake Road,15.373,75.1115,Rain,461,32.3,0,30.9,Low,25.84,Low
57,2025-02-02,07:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Clear,516,37.8,1,32.7,Low,32.78,Low
58,2025-01-02,10:00,Thursday,No,Unkal Lake Road,15.373,75.1115,Clear,745,41.9,0,34.93,Low,28.9,Low
59,2025-04-04,21:00,Friday,No,Vidya Nagar,15.37,75.119,Clear,647,39.8,0,32.76,Low,27.18,Low
60,2025-03-23,11:00,Sunday,Yes,Keshwapur,15.3565,75.1325,Cloudy,395,36.7,0,25.74,Low,21.52,Low
61,2025-03-08,01:00,Saturday,Yes,Vidya Nagar,15.37,75.119,Cloudy,125,48.1,0,8.85,Low,7.41,Low
62,2025-02-12,13:00,Wednesday,No,Old Bus Stand,15.3502,75.138,Clear,429,38.6,0,25.75,Low,21.47,Low
63,2025-04-19,21:00,Saturday,Yes,Gokul Road,15.3652,75.1106,Clear,847,33.6,0,43.85,Moderate,36.41,Medium
64,2025-02-17,01:00,Monday,No,Unkal Lake Road,15.373,75.1115,Rain,573,36.2,0,32.41,Low,26.99,Low
65,2025-03-04,12:00,Tuesday,No,MG Road Junction,15.3647,75.1239,Clear,618,40.2,0,31.48,Low,26.12,Low
66,2025-01-30,06:00,Thursday,No,Old Bus Stand,15.3502,75.138,Clear,531,39.3,0,28.94,Low,24.07,Low
67,2025-04-13,01:00,Sunday,Yes,Keshwapur,15.3565,75.1325,Clear,205,43.2,0,14.83,Low,12.42,Low
68,2025-04-26,17:00,Saturday,Yes,Gokul Road,15.3652,75.1106,Cloudy,912,34.8,0,45.4,Moderate,37.65,Medium
69,2025-03-07,19:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Clear,888,33.0,1,49.03,Moderate,46.26,Medium
70,2025-01-07,17:00,Tuesday,No,Old Bus Stand,15.3502,75.138,Clear,1180,36.6,0,53.82,Moderate,44.49,Medium
71,2025-01-09,09:00,Thursday,No,Unkal Lake Road,15.373,75.1115,Clear,805,31.0,0,44.0,Moderate,36.6,Medium
72,2025-03-24,13:00,Monday,No,Airport Road,15.3705,75.096,Fog,470,32.8,1,34.24,Low,34.17,Low
73,2025-02-11,11:00,Tuesday,No,Airport Road,15.3705,75.096,Clear,340,37.6,0,23.21,Low,19.42,Low
74,2025-04-07,13:00,Monday,No,MG Road Junction,15.3647,75.1239,Cloudy,395,46.5,0,19.51,Low,16.17,Low
75,2025-02-03,23:00,Monday,No,Vidya Nagar,15.37,75.119,Clear,254,43.6,0,16.32,Low,13.64,Low
76,2025-01-19,23:00,Sunday,Yes,MG Road Junction,15.3647,75.1239,Clear,227,40.7,0,17.2,Low,14.43,Low
77,2025-02-23,03:00,Sunday,Yes,Airport Road,15.3705,75.096,Cloudy,104,49.4,0,7.28,Low,6.09,Low
78,2025-02-12,08:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Clear,1125,23.8,0,60.01,High,49.87,Medium
79,2025-04-08,15:00,Tuesday,No,Keshwapur,15.3565,75.1325,Rain,709,34.7,0,38.22,Moderate,31.78,Low
80,2025-04-26,07:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Rain,894,35.7,1,47.52,Moderate,44.97,Medium
81,2025-01-15,01:00,Wednesday,No,Unkal Lake Road,15.373,75.1115,Rain,485,37.3,0,28.57,Low,23.82,Low
82,2025-02-06,14:00,Thursday,No,Keshwapur,15.3565,75.1325,Clear,718,36.4,0,37.46,Moderate,31.11,Low
83,2025-02-14,20:00,Friday,No,Unkal Lake Road,15.373,75.1115,Cloudy,769,32.8,1,44.91,Moderate,42.9,Medium
84,2025-02-02,23:00,Sunday,Yes,Old Bus Stand,15.3502,75.138,Clear,410,46.9,1,23.12,Low,24.72,Low
85,2025-04-05,08:00,Saturday,Yes,Unkal Lake Road,15.373,75.1115,Rain,691,37.5,0,35.8,Moderate,29.72,Low
86,2025-02-01,19:00,Saturday,Yes,Old Bus Stand,15.3502,75.138,Cloudy,753,35.4,0,39.35,Moderate,32.68,Low
87,2025-04-04,03:00,Friday,No,Unkal Lake Road,15.373,75.1115,Rain,556,33.1,0,33.78,Low,28.18,Low
88,2025-01-16,19:00,Thursday,No,Airport Road,15.3705,75.096,Clear,651,44.1,0,30.17,Low,24.96,Low
89,2025-01-21,12:00,Tuesday,No,Airport Road,15.3705,75.096,Clear,269,46.5,0,15.01,Low,12.49,Low
90,2025-02-19,04:00,Wednesday,No,Vidya Nagar,15.37,75.119,Clear,485,34.4,0,30.42,Low,25.4,Low
91,2025-03-27,22:00,Thursday,No,Old Bus Stand,15.3502,75.138,Cloudy,416,41.7,0,23.31,Low,19.4,Low
92,2025-01-03,16:00,Friday,No,Gokul Road,15.3652,75.1106,Clear,491,40.5,0,26.75,Low,22.25,Low
93,2025-04-18,00:00,Friday,No,Old Bus Stand,15.3502,75.138,Clear,438,43.2,0,23.14,Low,19.23,Low
94,2025-02-26,23:00,Wednesday,No,Unkal Lake Road,15.373,75.1115,Cloudy,368,43.1,0,20.71,Low,17.24,Low
95,2025-02-18,00:00,Tuesday,No,Unkal Lake Road,15.373,75.1115,Cloudy,297,42.0,0,18.87,Low,15.76,Low
96,2025-03-26,11:00,Wednesday,No,Gokul Road,15.3652,75.1106,Clear,385,43.6,0,21.0,Low,17.46,Low
97,2025-04-23,07:00,Wednesday,No,MG Road Junction,15.3647,75.1239,Cloudy,912,34.0,0,45.91,Moderate,38.09,Medium
98,2025-03-04,07:00,Tuesday,No,Unkal Lake Road,15.373,75.1115,Clear,828,50.6,1,35.69,Moderate,34.91,Low
99,2025-02-18,10:00,Tuesday,No,Vidya Nagar,15.37,75.119,Clear,830,37.4,1,44.16,Moderate,42.17,Medium
100,2025-03-05,10:00,Wednesday,No,Keshwapur,15.3565,75.1325,Clear,1019,34.4,0,49.48,Moderate,40.99,Medium
101,2025-04-21,00:00,Monday,No,Keshwapur,15.3565,75.1325,Clear,583,47.6,0,25.52,Low,21.06,Low
102,2025-01-17,07:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Clear,924,30.2,0,48.76,Moderate,40.51,Medium
103,2025-03-12,18:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,1171,31.9,0,56.49,Moderate,46.8,Medium
104,2025-01-18,10:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Clear,700,34.9,0,37.77,Moderate,31.4,Low
105,2025-04-08,08:00,Tuesday,No,Keshwapur,15.3565,75.1325,Clear,879,38.8,0,41.68,Moderate,34.5,Low
106,2025-01-16,18:00,Thursday,No,Airport Road,15.3705,75.096,Rain,955,28.3,0,51.08,Moderate,42.45,Medium
107,2025-03-16,20:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Clear,732,40.6,0,35.29,Moderate,29.23,Low
108,2025-04-05,22:00,Saturday,Yes,Gokul Road,15.3652,75.1106,Clear,320,45.8,1,20.61,Low,22.7,Low
109,2025-03-29,00:00,Saturday,Yes,Hubballi Railway Station,15.3515,75.1387,Cloudy,456,45.0,0,22.64,Low,18.77,Low
110,2025-04-01,22:00,Tuesday,No,Airport Road,15.3705,75.096,Rain,334,40.6,0,21.08,Low,17.61,Low
111,2025-01-09,08:00,Thursday,No,Airport Road,15.3705,75.096,Cloudy,699,37.8,0,35.89,Moderate,29.79,Low
112,2025-03-19,15:00,Wednesday,No,Gokul Road,15.3652,75.1106,Cloudy,268,38.8,0,19.87,Low,16.66,Low
113,2025-02-02,11:00,Sunday,Yes,Airport Road,15.3705,75.096,Rain,287,43.2,0,17.75,Low,14.82,Low
114,2025-01-21,22:00,Tuesday,No,Old Bus Stand,15.3502,75.138,Clear,568,46.1,0,25.94,Low,21.44,Low
115,2025-04-13,06:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Rain,123,37.6,0,15.46,Low,13.08,Low
116,2025-03-14,23:00,Friday,No,Keshwapur,15.3565,75.1325,Clear,684,41.8,1,36.15,Moderate,35.51,Medium
117,2025-02-03,12:00,Monday,No,Unkal Lake Road,15.373,75.1115,Rain,578,30.6,0,36.16,Moderate,30.19,Low
118,2025-03-31,10:00,Monday,No,Gokul Road,15.3652,75.1106,Clear,694,39.6,1,37.9,Moderate,37.0,Medium
119,2025-04-24,19:00,Thursday,No,Keshwapur,15.3565,75.1325,Cloudy,1262,32.8,0,59.17,Moderate,48.96,Medium
120,2025-03-20,23:00,Thursday,No,Keshwapur,15.3565,75.1325,Clear,798,35.7,0,40.76,Moderate,33.83,Low
121,2025-04-26,13:00,Saturday,Yes,MG Road Junction,15.3647,75.1239,Cloudy,377,43.4,0,20.84,Low,17.34,Low
122,2025-03-07,10:00,Friday,No,Old Bus Stand,15.3502,75.138,Clear,842,40.2,0,39.47,Moderate,32.66,Low
123,2025-02-10,00:00,Monday,No,Gokul Road,15.3652,75.1106,Rain,823,31.6,1,47.6,Moderate,45.13,Medium
124,2025-04-21,20:00,Monday,No,Airport Road,15.3705,75.096,Rain,799,29.6,0,44.68,Moderate,37.19,Medium
125,2025-03-03,21:00,Monday,No,Unkal Lake Road,15.373,75.1115,Clear,796,32.5,0,42.73,Moderate,35.52,Medium
126,2025-04-23,02:00,Wednesday,No,Gokul Road,15.3652,75.1106,Rain,759,31.3,0,42.17,Moderate,35.09,Medium
127,2025-02-12,20:00,Wednesday,No,Airport Road,15.3705,75.096,Cloudy,698,34.0,0,38.28,Moderate,31.84,Low
128,2025-01-21,22:00,Tuesday,No,Keshwapur,15.3565,75.1325,Cloudy,419,40.9,0,23.93,Low,19.93,Low
129,2025-04-28,06:00,Monday,No,Unkal Lake Road,15.373,75.1115,Clear,233,43.0,0,15.95,Low,13.35,Low
130,2025-01-17,13:00,Friday,No,Airport Road,15.3705,75.096,Clear,276,47.5,1,17.96,Low,20.48,Low
131,2025-02-06,06:00,Thursday,No,Vidya Nagar,15.37,75.119,Clear,374,43.3,0,20.79,Low,17.3,Low
132,2025-04-29,10:00,Tuesday,No,Airport Road,15.3705,75.096,Clear,554,50.8,0,22.45,Low,18.47,Low
133,2025-01-17,08:00,Friday,No,MG Road Junction,15.3647,75.1239,Rain,983,21.8,0,56.21,Moderate,46.81,Medium
134,2025-01-09,14:00,Thursday,No,Old Bus Stand,15.3502,75.138,Clear,491,42.7,0,25.35,Low,21.05,Low
135,2025-02-13,06:00,Thursday,No,Keshwapur,15.3565,75.1325,Rain,330,36.8,0,23.36,Low,19.56,Low
136,2025-03-20,09:00,Thursday,No,Airport Road,15.3705,75.096,Clear,589,36.3,1,36.26,Moderate,35.73,Medium
137,2025-03-03,20:00,Monday,No,Old Bus Stand,15.3502,75.138,Clear,1299,30.6,1,65.22,High,59.58,Medium
138,2025-02-05,23:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,446,41.6,0,24.45,Low,20.33,Low
139,2025-04-27,06:00,Sunday,Yes,Hubballi Railway Station,15.3515,75.1387,Rain,439,41.5,0,24.26,Low,20.18,Low
140,2025-01-24,11:00,Friday,No,Old Bus Stand,15.3502,75.138,Clear,437,42.5,1,26.88,Low,27.91,Low
141,2025-02-12,12:00,Wednesday,No,Old Bus Stand,15.3502,75.138,Clear,439,39.4,1,28.93,Low,29.66,Low
142,2025-01-04,23:00,Saturday,Yes,MG Road Junction,15.3647,75.1239,Clear,490,42.8,0,25.25,Low,20.96,Low
143,2025-03-22,03:00,Saturday,Yes,Vidya Nagar,15.37,75.119,Clear,375,42.1,0,21.59,Low,17.99,Low
144,2025-03-15,05:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Clear,300,39.5,0,20.57,Low,17.22,Low
145,2025-04-16,12:00,Wednesday,No,Gokul Road,15.3652,75.1106,Clear,443,41.1,1,27.99,Low,28.85,Low
146,2025-04-05,22:00,Saturday,Yes,MG Road Junction,15.3647,75.1239,Clear,600,40.9,0,30.39,Low,25.21,Low
147,2025-04-27,12:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Cloudy,139,46.4,0,10.43,Low,8.75,Low
148,2025-03-11,22:00,Tuesday,No,Old Bus Stand,15.3502,75.138,Clear,478,42.9,0,24.76,Low,20.56,Low
149,2025-01-23,12:00,Thursday,No,Gokul Road,15.3652,75.1106,Clear,491,39.3,0,27.52,Low,22.9,Low
150,2025-02-14,03:00,Friday,No,Old Bus Stand,15.3502,75.138,Clear,377,44.2,0,20.33,Low,16.9,Low
151,2025-04-18,04:00,Friday,No,Old Bus Stand,15.3502,75.138,Cloudy,470,42.2,1,28.25,Low,29.04,Low
152,2025-02-19,07:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Rain,980,30.4,0,50.63,Moderate,42.04,Medium
153,2025-03-13,18:00,Thursday,No,Hubballi Railway Station,15.3515,75.1387,Clear,1136,33.0,1,57.88,Moderate,53.51,Medium
154,2025-03-17,19:00,Monday,No,Gokul Road,15.3652,75.1106,Cloudy,815,45.8,0,34.94,Low,28.82,Low
155,2025-04-20,09:00,Sunday,Yes,MG Road Junction,15.3647,75.1239,Clear,966,39.6,1,47.61,Moderate,44.94,Medium
156,2025-04-24,17:00,Thursday,No,Hubballi Railway Station,15.3515,75.1387,Clear,1035,35.4,1,52.75,Moderate,49.25,Medium
157,2025-04-19,12:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Clear,293,40.9,0,19.43,Low,16.25,Low
158,2025-03-08,13:00,Saturday,Yes,Old Bus Stand,15.3502,75.138,Clear,238,43.7,0,15.69,Low,13.11,Low
159,2025-04-23,05:00,Wednesday,No,Unkal Lake Road,15.373,75.1115,Cloudy,479,48.1,0,21.49,Low,17.75,Low
160,2025-02-03,03:00,Monday,No,Airport Road,15.3705,75.096,Rain,394,35.5,0,26.47,Low,22.14,Low
161,2025-02-13,19:00,Thursday,No,Gokul Road,15.3652,75.1106,Clear,838,36.2,0,41.87,Moderate,34.73,Low
162,2025-03-10,11:00,Monday,No,Gokul Road,15.3652,75.1106,Cloudy,616,38.9,1,35.56,Moderate,35.1,Medium
163,2025-02-26,19:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,916,37.3,1,47.29,Moderate,44.74,Medium
164,2025-03-24,13:00,Monday,No,MG Road Junction,15.3647,75.1239,Clear,503,39.5,0,27.82,Low,23.14,Low
165,2025-02-26,10:00,Wednesday,No,Old Bus Stand,15.3502,75.138,Clear,1087,34.2,1,55.37,Moderate,51.42,Medium
166,2025-03-11,07:00,Tuesday,No,Keshwapur,15.3565,75.1325,Clear,921,34.1,0,46.17,Moderate,38.29,Medium
167,2025-03-05,17:00,Wednesday,No,MG Road Junction,15.3647,75.1239,Clear,1351,35.2,1,64.15,High,58.58,Medium
168,2025-03-26,22:00,Wednesday,No,Vidya Nagar,15.37,75.119,Clear,307,41.2,0,19.74,Low,16.49,Low
169,2025-03-04,08:00,Tuesday,No,Vidya Nagar,15.37,75.119,Clear,785,41.4,0,36.67,Moderate,30.34,Low
170,2025-04-04,05:00,Friday,No,Unkal Lake Road,15.373,75.1115,Clear,355,40.9,0,21.64,Low,18.06,Low
171,2025-02-28,16:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,584,36.8,0,32.43,Low,26.98,Low
172,2025-02-28,08:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,1174,29.5,0,58.13,Moderate,48.19,Medium
173,2025-02-24,10:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Fog,1001,19.8,1,61.46,High,56.76,Medium
174,2025-04-22,16:00,Tuesday,No,Unkal Lake Road,15.373,75.1115,Clear,354,45.0,0,19.0,Low,15.79,Low
175,2025-04-22,11:00,Tuesday,No,Vidya Nagar,15.37,75.119,Cloudy,231,40.3,1,20.93,Low,23.1,Low
176,2025-02-10,12:00,Monday,No,MG Road Junction,15.3647,75.1239,Rain,654,32.8,0,37.47,Moderate,31.21,Low
177,2025-03-15,16:00,Saturday,Yes,Unkal Lake Road,15.373,75.1115,Cloudy,218,48.1,1,15.5,Low,18.46,Low
178,2025-02-23,10:00,Sunday,Yes,Unkal Lake Road,15.373,75.1115,Clear,642,42.4,0,30.93,Low,25.62,Low
179,2025-01-30,13:00,Thursday,No,MG Road Junction,15.3647,75.1239,Cloudy,456,36.2,0,28.24,Low,23.57,Low
180,2025-03-03,15:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Clear,461,43.1,0,24.03,Low,19.95,Low
181,2025-03-01,18:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Clear,551,45.2,0,25.9,Low,21.44,Low
182,2025-01-28,00:00,Tuesday,No,MG Road Junction,15.3647,75.1239,Clear,247,42.2,0,16.96,Low,14.19,Low
183,2025-01-14,05:00,Tuesday,No,Vidya Nagar,15.37,75.119,Cloudy,623,41.7,0,30.7,Low,25.45,Low
184,2025-02-22,09:00,Saturday,Yes,Gokul Road,15.3652,75.1106,Clear,755,33.4,0,40.69,Moderate,33.83,Low
185,2025-01-29,11:00,Wednesday,No,Old Bus Stand,15.3502,75.138,Rain,663,35.7,0,35.95,Moderate,29.89,Low
186,2025-01-28,15:00,Tuesday,No,Gokul Road,15.3652,75.1106,Cloudy,348,43.9,0,19.48,Low,16.22,Low
187,2025-03-25,06:00,Tuesday,No,Airport Road,15.3705,75.096,Clear,423,45.0,0,21.46,Low,17.81,Low
188,2025-03-09,23:00,Sunday,Yes,Airport Road,15.3705,75.096,Rain,451,39.4,0,26.02,Low,21.68,Low
189,2025-03-04,07:00,Tuesday,No,Unkal Lake Road,15.373,75.1115,Clear,652,33.9,0,36.7,Moderate,30.55,Low
190,2025-02-17,08:00,Monday,No,Old Bus Stand,15.3502,75.138,Fog,823,29.6,1,48.87,Moderate,46.22,Medium
191,2025-03-19,05:00,Wednesday,No,Gokul Road,15.3652,75.1106,Clear,373,48.8,2,23.92,Low,30.94,Low
192,2025-03-05,08:00,Wednesday,No,Keshwapur,15.3565,75.1325,Clear,896,27.3,0,49.61,Moderate,41.27,Medium
193,2025-04-14,17:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,1069,37.6,0,49.23,Moderate,40.71,Medium
194,2025-01-24,11:00,Friday,No,Vidya Nagar,15.37,75.119,Cloudy,409,49.0,0,18.42,Low,15.22,Low
195,2025-02-23,19:00,Sunday,Yes,Airport Road,15.3705,75.096,Cloudy,682,33.0,0,38.34,Moderate,31.92,Low
196,2025-03-10,04:00,Monday,No,Keshwapur,15.3565,75.1325,Fog,357,32.6,0,27.0,Low,22.64,Low
197,2025-01-30,02:00,Thursday,No,Vidya Nagar,15.37,75.119,Cloudy,278,46.4,1,18.73,Low,21.14,Low
198,2025-04-01,00:00,Tuesday,No,Vidya Nagar,15.37,75.119,Cloudy,405,39.1,0,24.57,Low,20.5,Low
199,2025-01-01,01:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Rain,373,43.5,0,20.63,Low,17.17,Low
200,2025-01-27,17:00,Monday,No,Old Bus Stand,15.3502,75.138,Cloudy,1124,37.2,0,51.44,Moderate,42.53,Medium
201,2025-04-05,11:00,Saturday,Yes,Unkal Lake Road,15.373,75.1115,Clear,298,38.5,0,21.14,Low,17.7,Low
202,2025-03-08,05:00,Saturday,Yes,Gokul Road,15.3652,75.1106,Rain,442,34.1,0,29.08,Low,24.31,Low
203,2025-02-05,14:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Clear,439,45.2,0,21.9,Low,18.17,Low
204,2025-03-15,07:00,Saturday,Yes,Keshwapur,15.3565,75.1325,Cloudy,820,40.0,0,38.81,Moderate,32.13,Low
205,2025-04-12,08:00,Saturday,Yes,Unkal Lake Road,15.373,75.1115,Rain,789,41.4,0,36.81,Moderate,30.46,Low
206,2025-03-11,05:00,Tuesday,No,Keshwapur,15.3565,75.1325,Cloudy,418,38.9,0,25.16,Low,20.99,Low
207,2025-02-18,01:00,Tuesday,No,Unkal Lake Road,15.373,75.1115,Cloudy,432,48.1,0,19.81,Low,16.38,Low
208,2025-02-14,20:00,Friday,No,Old Bus Stand,15.3502,75.138,Cloudy,1147,29.1,0,57.42,Moderate,47.62,Medium
209,2025-03-13,03:00,Thursday,No,Airport Road,15.3705,75.096,Clear,370,45.1,0,19.51,Low,16.2,Low
